B0531+21   15-Oct-15  180000.00   57310.75000000000             0.000059 -0.880 -7.929
      1930927.063571   29.660772797300  eff  300   12  1600.000                
 -4.02245264393139349e-09  1.55147567994765950e-01  1.68632511813908166e-06
 -3.13257344475811462e-09 -4.54519834278417830e-12  2.98261185321494092e-15
  2.73980551910963299e-18 -7.15078919652940319e-22  5.53452432564585766e-24
 -1.09293345070498835e-26 -9.42948194583815803e-29  1.50218822003813981e-33
B0531+21   15-Oct-15  230000.00   57310.95833333330             0.000059 -0.881 -8.238
      2464867.557502   29.660772797300  eff  300   12  1600.000                
 -1.48848320911353354e-09  1.54977620192989940e-01 -2.51382042237449290e-06
 -4.82219165333554045e-09  2.14789897161810436e-12  4.64156403118642836e-15
 -1.40601812200332512e-18 -4.15560999830761219e-21  2.39550543949621173e-24
  6.13388698284528700e-26 -3.63340021486008780e-29 -6.40846176918894737e-31
B0531+21   16-Oct-15   40000.00   57311.16666666660             0.000059 -0.870 -8.216
      2998807.631801   29.660772797300  eff  300   12  1600.000                
 -2.27063968445161200e-09  1.52556517375440848e-01 -4.70896867923646251e-06
  6.64001795672046834e-10  5.64436965366156982e-12 -6.26829521297712831e-16
 -3.67572527942295871e-18 -5.71626961787496282e-22  5.26780880987311578e-24
  2.59773193357035524e-26 -7.63324628567434892e-29 -2.94930730715894056e-31
B0531+21   16-Oct-15   90000.00   57311.37500000000             0.000059 -0.860 -7.934
      3532746.945078   29.660772797300  eff  300   12  1600.000                
 -2.37858070403852207e-09  1.50445106360325626e-01 -1.63522180655137413e-06
  5.15541173685788784e-09  7.35933630163333729e-13 -4.96430464233350240e-15
 -5.64618727210540647e-19  4.20805711189661874e-21  3.25687897771511984e-24
 -6.51527018199660528e-26 -3.42205973962554491e-29  7.91960164677907495e-31
B0531+21   16-Oct-15  140000.00   57311.58333333330             0.000059 -0.864 -8.221
      4066685.974999   29.660772797300  eff  300   12  1600.000                
 -4.96660237477452476e-09  1.50739831362839138e-01  2.12443831293709373e-06
  1.96288397473663663e-09 -5.26800660507734481e-12 -1.88422561883376761e-15
  3.28779329851529327e-18  1.64461844206744692e-21  2.57780795227650330e-24
 -5.02440667738914718e-26 -6.25771009239665831e-29  9.28392537691138978e-31
B0531+21   16-Oct-15  180000.00   57311.75000000000             0.000059 -0.872 -7.936
      4493837.412119   29.660772797300  eff  300   12  1600.000                
 -3.83215380418570949e-09  1.51792968307330661e-01  1.63194324599224918e-06
 -3.20347947827286089e-09 -4.48636736360594703e-12  3.03628065294226815e-15
  2.79320435405965017e-18  6.14357252848172590e-22  9.82430783388229972e-25
 -6.35845017430966134e-26 -1.70346025720496187e-29  7.12945461659977136e-31
B0531+21   16-Oct-15  230000.00   57311.95833333330             0.000059 -0.873 -8.249
      5027776.893474   29.660772797300  eff  300   12  1600.000                
 -3.69161567757493754e-09  1.51579730466643331e-01 -2.58743280008631601e-06
 -4.78755914264924594e-09  2.23771257175729411e-12  4.59314621282467108e-15
 -1.40770523265744783e-18 -2.83576073360850588e-21 -1.13586267890140894e-26
  1.46747147602516500e-26  7.84533445403850485e-31 -4.30050966090775142e-32
B0531+21   17-Oct-15   40000.00   57312.16666666660             0.000059 -0.861 -8.246
      5561715.943327   29.660772797300  eff  300   12  1600.000                
  1.08107555143617247e-09  1.49131477697722226e-01 -4.71748900800032281e-06
  7.52687883420273318e-10  5.63086013456786786e-12 -7.03557647149169759e-16
 -3.64347339362887363e-18 -1.39039577540472809e-21  3.61444137230376027e-24
  6.49500842849020485e-26 -4.07129383172260046e-29 -9.28166763490230610e-31
B0531+21   17-Oct-15   90000.00   57312.37500000000             0.000059 -0.852 -7.951
      6095654.230420   29.660772797300  eff  300   12  1600.000                
 -7.90352101932412893e-09  1.47034335214440537e-01 -1.59117110736519870e-06
  5.16632024249539157e-09  6.39608903157041042e-13 -4.98678184030081772e-15
 -6.03380864113184675e-19  5.27332451725001690e-21  8.05401600108260644e-24
 -1.04059407378759344e-25 -1.14333753117866813e-28  1.29838979532534280e-30
B0531+21   17-Oct-15  140000.00   57312.58333333330             0.000059 -0.856 -8.228
      6629592.240601   29.660772797300  eff  300   12  1600.000                
 -4.60288985107977879e-09  1.47348402209121515e-01  2.13035102534604269e-06
  1.87982730432987452e-09 -5.30492029395566580e-12 -1.80530971134070677e-15
  3.38890156607424656e-18  1.72851257099187453e-21 -8.76571891476966196e-25
 -5.85812506563695515e-26 -9.36775674707753219e-30  1.10956950216866733e-30
B0531+21   17-Oct-15  180000.00   57312.75000000000             0.000059 -0.863 -7.948
      7056742.862915   29.660772797300  eff  300   12  1600.000                
 -7.09784824888721761e-10  1.48389401183742026e-01  1.57705415112763614e-06
 -3.27347108258252748e-09 -4.42513469448269202e-12  3.09811455089543260e-15
  2.68257982947937839e-18  1.32564688898869864e-21  5.28714367883508993e-24
 -1.02752372303957659e-25 -9.77671983323912695e-29  1.41166955463639922e-30
B0531+21   17-Oct-15  230000.00   57312.95833333330             0.000059 -0.864 -8.228
      7590681.316992   29.660772797300  eff  300   12  1600.000                
 -3.80858713741139086e-10  1.48132925100678048e-01 -2.66029935132764891e-06
 -4.75152764994848413e-09  2.32865658479119508e-12  4.55113436558994200e-15
 -1.61429683435152899e-18 -2.15417765715371934e-21  6.73292341370805814e-24
 -1.20513074123532112e-26 -1.03390068608100458e-28  3.50171466476914869e-31
B0531+21   18-Oct-15   40000.00   57313.16666666660             0.000059 -0.853 -8.250
      8124619.327824   29.660772797300  eff  300   12  1600.000                
 -1.62125518789714364e-09  1.45658239774816956e-01 -4.72461895534745534e-06
  8.41099352011925369e-10  5.61501289571423182e-12 -7.71650746103304106e-16
 -3.55588842205174176e-18 -2.53617962105164085e-21  3.97339524741099587e-25
  1.01452326784837649e-25  5.27370645702786522e-30 -1.32271176072845722e-30
B0531+21   18-Oct-15   90000.00   57313.37500000000             0.000058 -0.843 -7.957
      8658556.574381   29.660772797300  eff  300   12  1600.000                
 -1.12079864979045538e-09  1.43575983440308030e-01 -1.54664835101023162e-06
  5.17558623964660043e-09  5.42097088420907201e-13 -4.98536173363780672e-15
 -5.35021869396826776e-19  4.62857691627525006e-21  8.25876523327507937e-24
 -8.63475366340670431e-26 -1.25459586231220825e-28  1.13424070463590041e-30
B0531+21   18-Oct-15  140000.00   57313.58333333330             0.000058 -0.847 -8.220
      9192493.550550   29.660772797300  eff  300   12  1600.000                
 -2.12893054294480014e-09  1.43909300596668899e-01  2.13563656041606300e-06
  1.79613255884211538e-09 -5.33927262448558214e-12 -1.70507510987435022e-15
  3.37811961133377215e-18 -3.39476738995290322e-22  4.88206623032832677e-25
  3.21996267216105153e-26 -2.89476534571862149e-29 -3.60446134920534208e-31
B0531+21   18-Oct-15  180000.00   57313.75000000000             0.000058 -0.855 -7.950
      9619643.346579   29.660772797300  eff  300   12  1600.000                
 -9.24737535762436497e-10  1.44937857549345295e-01  1.52171103159068125e-06
 -3.34251661676692776e-09 -4.36324634094022753e-12  3.17256294200913987e-15
  2.67143934309488828e-18  3.83315878392135124e-22  4.28318168785189044e-24
 -6.36616638601883693e-26 -8.70396137115682571e-29  8.29313090313867699e-31
B0531+21   18-Oct-15  230000.00   57313.95833333330             0.000058 -0.855 -8.218
     10153580.758979   29.660772797300  eff  300   12  1600.000                
 -6.10982746710394295e-09  1.44638228274992425e-01 -2.73235376880136293e-06
 -4.71410088922827205e-09  2.41663253299930284e-12  4.51123237077928740e-15
 -1.55984546342166066e-18 -1.78212804628932406e-21  1.78328839721535004e-24
 -2.68764531170705477e-26 -2.65763873555880984e-29  5.88452775670720667e-31
B0531+21   19-Oct-15   40000.00   57314.16666666660             0.000058 -0.844 -8.248
     10687517.716523   29.660772797300  eff  300   12  1600.000                
  1.65530998294944861e-10  1.42137855738021707e-01 -4.73032580719777496e-06
  9.29468170126971100e-10  5.59779703508642565e-12 -8.79097051854153034e-16
 -3.50387138388293992e-18 -5.35735216875961749e-22 -1.13784387811485229e-24
  2.91847106782440075e-26  2.55643213204237788e-29 -3.57942038148835184e-31
B0531+21   19-Oct-15   90000.00   57314.37500000000             0.000058 -0.834 -7.967
     11221453.908509   29.660772797300  eff  300   12  1600.000                
 -1.99160913209192277e-09  1.40071119184954379e-01 -1.50163232255289047e-06
  5.18347547184634391e-09  4.43460274886751197e-13 -5.00517863969572457e-15
 -3.35826879935103954e-19  5.49368998466990122e-21  1.50836115576413808e-24
 -1.12087553091835324e-25 -1.13349438843339971e-29  1.39525023856933100e-30
B0531+21   19-Oct-15  140000.00   57314.58333333330             0.000058 -0.838 -8.266
     11755389.836718   29.660772797300  eff  300   12  1600.000                
