B0531+21   15-Oct-15  173000.00   57310.72916666660             0.000059 -0.880 -7.924
      1877532.944753   29.660772797300   mc  300   12  1650.000                
 -8.68016479851750232e-09  1.55264580164384519e-01  2.14375082080658884e-06
 -3.28304322993766365e-09 -5.27556411725204007e-12  3.10256966036059927e-15
  3.32895634575199209e-18  1.87208933540999478e-21  1.22821513724950758e-25
 -1.30722151116901987e-25 -1.51421240467087894e-29  1.91072330211071135e-30
B0531+21   15-Oct-15  223000.00   57310.93749999990             0.000059 -0.883 -8.184
      2411473.505651   29.660772797300   mc  300   12  1650.000                
 -3.35240923283441883e-10  1.55261714520460975e-01 -2.49655251196653125e-06
 -5.50516408643628989e-09  2.12146717204507965e-12  5.30356100440982590e-15
 -1.44164068596287522e-18 -5.31304362457666995e-21  4.17894464290895739e-24
  1.01162415371265877e-25 -5.27905341304526873e-29 -1.30118423545938716e-30
B0531+21   16-Oct-15   33000.00   57311.14583333320             0.000059 -0.870 -8.234
      2945413.649611   29.660772797300   mc  300   12  1650.000                
  8.00305185294345909e-09  1.52688907703213361e-01 -5.15703241267495161e-06
  4.65732596886233272e-10  6.35791263090803879e-12 -4.40674695643675998e-16
 -3.92436967949160172e-18  2.24854880831480323e-22 -4.22321623314825321e-24
 -2.49061116905161107e-26  8.13850356766129967e-29  6.22350470470784819e-31
B0531+21   16-Oct-15   83000.00   57311.35416666660             0.000059 -0.859 -7.943
      3479352.962841   29.660772797300   mc  300   12  1650.000                
 -1.00859693267467133e-08  1.50333256270650889e-01 -1.88078959309893673e-06
  5.73709596669015838e-09  1.12718861323409813e-12 -5.52080256006939573e-15
 -7.37592290647673763e-19  4.41064137369188314e-21  9.11319089529758017e-25
 -6.23354999972454074e-26 -6.83661432150341608e-30  7.44540812949618388e-31
B0531+21   16-Oct-15  133000.00   57311.56249999990             0.000059 -0.863 -8.217
      4013291.954513   29.660772797300   mc  300   12  1650.000                
 -5.32082975876008385e-09  1.50655266352806433e-01  2.44761159245369604e-06
  2.45810404173717671e-09 -5.78168093886132340e-12 -2.33615738600357441e-15
  3.51291677614997163e-18 -2.92688444572750859e-22  5.75317633393359010e-24
  4.03394053241133698e-26 -9.72761499180889289e-29 -4.48260320473107969e-31
B0531+21   16-Oct-15  173000.00   57311.72916666660             0.000059 -0.872 -7.935
      4440443.394784   29.660772797300   mc  300   12  1650.000                
 -1.37096905386237733e-08  1.51914590564170310e-01  2.08751864958348131e-06
 -3.36538601829386652e-09 -5.21360800195071412e-12  3.17482347899148033e-15
  3.34538538351115276e-18  2.13129287217636760e-21 -2.39675173219458577e-24
 -1.33898923648175707e-25  2.54274392312011894e-29  1.85699195096759819e-30
B0531+21   16-Oct-15  223000.00   57311.93749999990             0.000059 -0.874 -8.235
      4974382.944061   29.660772797300   mc  300   12  1650.000                
 -8.21869095976119008e-09  1.51864945465336826e-01 -2.57822909268811031e-06
 -5.47082532803879933e-09  2.22458346105529976e-12  5.25280509767270685e-15
