B0531+21   15-Oct-15  173000.00   57310.72916666660             0.000059 -0.879 -7.928
      1877533.095449   29.660772797300   o8  300   12  1650.000                
 -9.78106623506268198e-09  1.55019536808624431e-01  1.32979756636890870e-06
 -2.50121220076802083e-09 -3.97698323613432252e-12  2.35498651037670304e-15
  2.48106294819148320e-18  1.83556976223565932e-21  1.31790935600648480e-24
 -1.06105983950037038e-25 -2.95914340281739259e-29  1.43033425547067159e-30
B0531+21   15-Oct-15  223000.00   57310.93749999990             0.000059 -0.880 -8.192
      2411473.538873   29.660772797300   o8  300   12  1650.000                
 -5.24751748819068497e-09  1.54839406013647485e-01 -2.18611028198821602e-06
 -4.15771836270486502e-09  1.62692754658825561e-12  4.00052229147851008e-15
 -1.20179666275807259e-18 -3.69779811372364646e-21  7.74335238785051074e-24
  6.65896313625593871e-26 -1.16546850836349529e-28 -8.87636529123645780e-31
B0531+21   16-Oct-15   33000.00   57311.14583333320             0.000059 -0.871 -8.240
      2945413.613663   29.660772797300   o8  300   12  1650.000                
  1.63292828128029470e-09  1.52718272810904943e-01 -4.18453295810287452e-06
  3.71945410359756325e-10  4.80740020743944272e-12 -3.22580656262909943e-16
 -3.04636847526031532e-18 -2.80510008576670093e-21  8.68614188005141065e-25
  1.07032385437785086e-25 -8.73517716915339133e-30 -1.45659369366416747e-30
B0531+21   16-Oct-15   83000.00   57311.35416666660             0.000059 -0.862 -7.938
      3479353.009041   29.660772797300   o8  300   12  1650.000                
 -1.21832329737725997e-08  1.50770561441625400e-01 -1.69456776900569536e-06
  4.34185179724487232e-09  8.30278439306219932e-13 -4.19005517922138893e-15
 -5.43094585350391962e-19  4.83643882446450836e-21 -1.30626120632649317e-25
 -1.20125422667148825e-25  1.79939768852294169e-29  1.76194426404298332e-30
B0531+21   16-Oct-15  133000.00   57311.56249999990             0.000059 -0.865 -8.219
      4013292.111837   29.660772797300   o8  300   12  1650.000                
 -7.52099638549217568e-09  1.50849238103791805e-01  1.57022301240774753e-06
  1.83928123290667315e-09 -4.38353282843290134e-12 -1.75417631948107932e-15
  2.77842346261915527e-18  3.73643388834613121e-22 -7.95142756900113511e-25
  3.71121033778882468e-27  6.85023636922113162e-30  8.17896372695929278e-32
