B0531+21   15-Oct-15  103000.00   57310.43750000000             0.000060 -0.885 -7.922
      1130016.465630   29.660772797300   t6  300   12  1650.000                
 -4.76453688543534417e-09  1.56575209468026333e-01  2.60230199735382810e-06
 -4.35285652228884226e-09 -5.99862871949326997e-12  4.12981631988658428e-15
  3.74231651869332578e-18  6.36281763365633782e-22  2.37078888951386684e-24
 -8.38881190680816545e-26 -5.67029791195509935e-29  1.02360981934065901e-30
B0531+21   15-Oct-15  153000.00   57310.64583333330             0.000060 -0.887 -8.208
      1663957.428955   29.660772797300   t6  300   12  1650.000                
 -5.69816868958299854e-09  1.56526108326650704e-01 -3.08494926753152502e-06
 -6.41767492875036012e-09  3.06906400256476612e-12  6.13850195883771709e-15
 -2.17331210401288128e-18 -2.27809925547736770e-21  1.11372627052194365e-23
 -3.45426833712642347e-26 -1.76391558271742582e-28  6.70374905918024221e-31
B0531+21   15-Oct-15  203000.00   57310.85416666660             0.000059 -0.872 -8.217
      2197897.883913   29.660772797300   t6  300   12  1650.000                
  2.81576537578670776e-09  1.53481028623588422e-01 -5.90861621920189213e-06
  1.06936731064656346e-09  7.56533327637204172e-12 -1.00472203543341982e-15
 -4.74657896574925964e-18 -1.10167892441782023e-21 -1.69709763935192136e-24
  4.92595756960790789e-26  4.57788097203310530e-29 -5.90298716894178756e-31
B0531+21   16-Oct-15   13000.00   57311.06250000000             0.000059 -0.860 -7.942
      2731837.391320   29.660772797300   t6  300   12  1650.000                
 -2.69093697436840302e-09  1.50934890966995999e-01 -1.66880338702982521e-06
  6.95803754518780951e-09  7.99244754701659312e-13 -6.68322259248527402e-15
 -7.57758478366805724e-19  4.42737665948898465e-21  1.09488265490974266e-23
 -4.33903656428397293e-26 -1.66628309921998852e-28  4.76685327294087268e-31
B0531+21   16-Oct-15   63000.00   57311.27083333330             0.000059 -0.866 -8.239
      3265776.610277   29.660772797300   t6  300   12  1650.000                
 -3.82973893413583776e-09  1.51636348222038059e-01  3.31488718637827699e-06
  2.47795961791596886e-09 -7.15936104393320182e-12 -2.35740402423751197e-15
  4.57378604010956972e-18  1.41839206613600950e-22 -1.18970711656243750e-24
  1.55617589923098172e-26 -1.41487676430548915e-29  1.40843139073410394e-32
B0531+21   16-Oct-15  103000.00   57311.43750000000             0.000059 -0.877 -7.935
      3692928.331822   29.660772797300   t6  300   12  1650.000                
 -6.10804062492161567e-09  1.53243108131989408e-01  2.53329607313257590e-06
 -4.44644390040709839e-09 -5.91609445297787427e-12  4.21378992665606457e-15
  3.71297689705813761e-18  1.16695766051029693e-21  1.17499081773539365e-24
 -1.10994845902586564e-25 -3.49011254023449867e-29  1.48972483930345342e-30
B0531+21   16-Oct-15  153000.00   57311.64583333330             0.000059 -0.878 -8.225
      4226868.287621   29.660772797300   t6  300   12  1650.000                
 -1.30974483039984161e-09  1.53138950487058723e-01 -3.17738510204780296e-06
 -6.36842535398135953e-09  3.18752706578262766e-12  6.09325512587501558e-15
 -2.06554407238923086e-18 -2.40963016913315163e-21  3.03433809260674439e-24
 -2.81104797377640647e-26 -4.90764734455248421e-29  5.67522599459328597e-31
B0531+21   16-Oct-15  203000.00   57311.85416666660             0.000059 -0.863 -8.230
      4760807.720252   29.660772797300   t6  300   12  1650.000                
 -5.08037053059489339e-10  1.50061814385247100e-01 -5.91227519530205538e-06
  1.18815754657474414e-09  7.54463314716481718e-12 -1.09408033919201707e-15
 -4.80385012719127012e-18 -3.53070811357707611e-21  1.49729187668955238e-24
  1.58214476244426427e-25 -4.83593504764256495e-30 -2.31873960366183893e-30
B0531+21   17-Oct-15   13000.00   57312.06250000000             0.000059 -0.851 -7.945
      5294746.204346   29.660772797300   t6  300   12  1650.000                
 -3.50007215415353251e-10  1.47539118439269201e-01 -1.60358463446135464e-06
  6.96974735292071542e-09  6.67324682770431075e-13 -6.72978257020192216e-15
 -5.71303108052958962e-19  7.68575079837258784e-21  5.93764356666774912e-24
 -1.71116129261503807e-25 -8.45770924113286413e-29  2.28742509552866536e-30
B0531+21   17-Oct-15   63000.00   57312.27083333330             0.000059 -0.858 -8.241
      5828684.409724   29.660772797300   t6  300   12  1650.000                
 -3.35028141452712517e-09  1.48269419107714490e-01  3.32659169287113102e-06
  2.36510277706065051e-09 -7.20465083480548509e-12 -2.24682909573759444e-15
  4.54321280512134082e-18 -4.07774550872647346e-22  2.37480779218152289e-24
  4.40683525500646201e-26 -8.22046377175377571e-29 -5.08575290641818217e-31
B0531+21   17-Oct-15  103000.00   57312.43750000000             0.000059 -0.868 -7.944
      6255835.322259   29.660772797300   t6  300   12  1650.000                
 -1.97862465916411664e-09  1.49861635525138120e-01  2.46350448056603819e-06
 -4.53888292734083061e-09 -5.83075409770745754e-12  4.32806930334250410e-15
  3.57588093410686883e-18 -9.41702414206416731e-22  4.45382015989366888e-24
 -3.49697661569937703e-26 -8.08169219263925994e-29  4.45188675610415635e-31
B0531+21   17-Oct-15  153000.00   57312.64583333330             0.000059 -0.870 -8.223
      6789774.255695   29.660772797300   t6  300   12  1650.000                
 -5.69822991547240141e-09  1.49702434289495701e-01 -3.26891546215525450e-06
 -6.31726633794082514e-09  3.30780174235935601e-12  6.04385425164347476e-15
 -2.24885622393790867e-18 -2.29596549645114587e-21  7.59956148055574242e-24
 -3.39513787573196014e-26 -1.15830582857836216e-28  6.76799710174239194e-31
B0531+21   17-Oct-15  203000.00   57312.85416666660             0.000059 -0.854 -8.228
      7323712.651313   29.660772797300   t6  300   12  1650.000                
  1.49589654395041946e-09  1.46594138791433792e-01 -5.91420164122868151e-06
  1.30678772286134468e-09  7.52106842032566444e-12 -1.22947594439594608e-15
 -4.79481481927087547e-18 -1.34437496292951026e-21  1.91285651977350145e-24
  6.75389880294611587e-26 -1.29190498439899927e-29 -9.17789905919738840e-31
B0531+21   18-Oct-15   13000.00   57313.06250000000             0.000059 -0.843 -7.961
      7857650.097687   29.660772797300   t6  300   12  1650.000                
 -4.82246106981202519e-09  1.44095622086628433e-01 -1.53790077834732924e-06
  6.97907502505068252e-09  5.34665416679337376e-13 -6.69909853430544801e-15
 -3.48431357879216193e-19  4.10215969365964245e-21 -2.10857180995723726e-25
 -2.95452341195252870e-26  1.32606750781843853e-29  2.55404287483456354e-31
B0531+21   18-Oct-15   63000.00   57313.27083333330             0.000059 -0.849 -8.245
      8391587.275159   29.660772797300   t6  300   12  1650.000                
 -4.93463865401639430e-09  1.44854544450576772e-01  3.33730740981750696e-06
  2.25166288756384133e-09 -7.24839464332331458e-12 -2.16472193791300719e-15
  4.61451006819942430e-18  1.94466203416770379e-21 -3.32466901611784167e-25
 -5.14038608007487690e-26 -2.71793905620129128e-29  8.83985116011123297e-31
B0531+21   18-Oct-15  100000.00   57313.41666666660             0.000058 -0.859 -7.945
      8765343.585232   29.660772797300   t6  300   12  1650.000                
 -1.03446944722194447e-08  1.46276302593714103e-01  2.77750222639295628e-06
 -3.90240700187616706e-09 -6.35862343896780472e-12  3.70744734130447736e-15
  4.03032626099079834e-18  2.79123645632358659e-22 -5.36955837146854141e-25
 -7.24031121953969790e-26 -8.25321409561997173e-30  1.01107015697330133e-30
B0531+21   18-Oct-15  150000.00   57313.62499999990             0.000058 -0.862 -8.216
      9299281.483062   29.660772797300   t6  300   12  1650.000                
 -8.17961759727199307e-09  1.46401859830789460e-01 -2.77883662282987465e-06
 -6.62032102661418016e-09  2.49987025880175553e-12  6.35541528290682809e-15
 -1.65634656808230380e-18 -4.43513680816873009e-21  3.12623860173605132e-24
  5.07375478094433000e-26 -3.59783535553885666e-29 -6.15696633427803786e-31
B0531+21   18-Oct-15  200000.00   57313.83333333320             0.000058 -0.847 -8.248
      9833218.918935   29.660772797300   t6  300   12  1650.000                
  6.71711631254596304e-09  1.43436917488107191e-01 -6.00183543456674580e-06
  5.15780387584475790e-10  7.63489126782409259e-12 -4.78545086590587987e-16
 -4.79748481994582687e-18 -5.86303198665894362e-22 -1.79493823532380301e-24
  7.82250741048597297e-27  5.39269962738314942e-29  1.37864401226768971e-31
B0531+21   19-Oct-15   10000.00   57314.04166666660             0.000058 -0.834 -7.969
     10367155.391540   29.660772797300   t6  300   12  1650.000                
 -6.76412943924617819e-09  1.40712532169170429e-01 -2.09654630929867898e-06
  6.87816605956596703e-09  1.40075172512219054e-12 -6.60185087109455675e-15
 -9.60992523520023602e-19  4.21091866611786122e-21  3.50212641304557737e-24
 -4.34880495943127503e-26 -5.22999246407650561e-29  5.66569336820635600e-31
B0531+21   19-Oct-15   60000.00   57314.24999999990             0.000058 -0.839 -8.234
     10901091.507930   29.660772797300   t6  300   12  1650.000                
 -4.66109884045430968e-09  1.41198495834291254e-01  3.11593377457165619e-06
  2.99110625902997761e-09 -6.91886325940738952e-12 -2.84021899836298505e-15
  4.25081957553418997e-18 -6.18419896038709226e-22  6.08226353262687455e-24
  6.37912796045497898e-26 -1.22899658001014689e-28 -8.05314035656873284e-31
B0531+21   19-Oct-15  100000.00   57314.41666666660             0.000058 -0.850 -7.958
     11328240.720409   29.660772797300   t6  300   12  1650.000                
 -6.41891133447059403e-09  1.42803081467514859e-01  2.71482622630721195e-06
 -4.00170861630165013e-09 -6.28471684382282653e-12  3.79608855577029268e-15
  4.02349845178909104e-18  9.86493286684877195e-22 -2.44360788540858266e-24
 -1.04686344984474548e-25  2.52378536005075424e-29  1.48741495714942411e-30
B0531+21   19-Oct-15  150000.00   57314.62499999990             0.000058 -0.853 -8.238
     11862177.568740   29.660772797300   t6  300   12  1650.000                
 -1.42401419050085763e-09  1.42875217877773741e-01 -2.87264756649958829e-06
 -6.57994126279669119e-09  2.62454576321502467e-12  6.32374138486614394e-15
 -1.79238100798247832e-18 -5.20536716810227028e-21  5.63342131846506227e-24
  8.54168783159520657e-26 -7.55049288951424343e-29 -1.15939121121850276e-30
B0531+21   19-Oct-15  200000.00   57314.83333333320             0.000058 -0.838 -8.248
     12396113.940128   29.660772797300   t6  300   12  1650.000                
  2.52328090220881778e-09  1.39875715506524695e-01 -6.01091250436550653e-06
  6.35809223528325915e-10  7.62337197366804291e-12 -5.79953495575171550e-16
 -4.73684976831729329e-18 -1.75329306997892972e-21 -3.92627422566385661e-24
  5.33693500396812487e-26  8.52984484461277808e-29 -4.57740667045577242e-31
B0531+21   20-Oct-15   10000.00   57315.04166666660             0.000058 -0.825 -7.970
     12930049.346446   29.660772797300   t6  300   12  1650.000                
 -1.38262886935897988e-08  1.37172831017366603e-01 -2.03108977279776748e-06
  6.89934196341863979e-09  1.27046874975982462e-12 -6.64568198687204185e-15
 -7.91688538382239796e-19  6.54364395088128203e-21 -1.25851161005757495e-24
 -1.39553209700166158e-25  3.50568341223926152e-29  1.98862208680889924e-30
B0531+21   20-Oct-15   60000.00   57315.24999999990             0.000058 -0.830 -8.232
     13463984.406347   29.660772797300   t6  300   12  1650.000                
 -7.78209959331833457e-09  1.37690146033493804e-01  3.13486322460711536e-06
  2.88192297479767703e-09 -6.97518473561408483e-12 -2.73116297946136602e-15
  4.41108389075859932e-18 -1.12561857123831162e-21 -2.52553039712512299e-25
  8.54617561071638409e-26 -1.15192396397564432e-29 -1.18049192169093682e-30
