1957+20     9-Jun-14  213000.00   56817.89583333330            29.124020 -0.573 -6.749
 298744565326.929920  622.122028784041   ao  300   12   335.250 0.9609   2.6180
 -5.42123199352706475e-08  2.01608832432979357e+00  3.63759141870306345e-03
  2.56071324832245241e-06 -3.88228975044165307e-08 -1.72005647386985874e-11
  1.68526450847017004e-13  5.35112322380081132e-17 -3.93284354401140042e-19
 -9.78607470945311046e-23  5.39001926632001719e-25  1.44190921611085571e-28
1957+20    10-Jun-14   23000.00   56818.10416666660            29.124020 -0.576 -3.908
 298755764278.644905  622.122028784041   ao  300   12   335.250 0.5063   2.6180
  1.00079388151361193e-05  2.09328043540007069e+00 -3.65413397651125635e-03
  1.11262372100176280e-06  3.92716252746932402e-08 -8.48478591812187073e-12
 -1.69329168713804483e-13  5.72634909087618393e-17  3.13859405284168041e-19
 -1.09139064727821743e-21  1.12290355631555482e-24  1.20887158366015299e-26
1957+20    10-Jun-14   73000.00   56818.31249999990            29.124020 -0.561 -7.008
 298766963006.088168  622.122028784041   ao  300   12   335.250 0.0517   2.6180
  4.41838022054857893e-08  2.32654127921035059e+00  3.24407010079462085e-03
 -5.07689171648336831e-06 -3.64403415200994123e-08  3.32535309044346196e-11
  1.59195181535985139e-13 -1.04099558502269620e-16 -3.70403257800105899e-19
  1.94648566948050008e-22  5.01451979722579286e-25 -2.53861710690520132e-28
1957+20    10-Jun-14  123000.00   56818.52083333330            29.124020 -0.546 -4.204
 298778161916.357796  622.122028784041   ao  300   12   335.250 0.5972   2.6180
  2.61312026809453618e-05  1.64906591610130349e+00 -2.88597705086640448e-03
  8.64843767229507444e-06  3.10923089539825998e-08 -5.50175215084834045e-11
 -1.35747870978908018e-13  1.30140345936498632e-16  3.25591871515985695e-19
  1.24682784317209407e-21 -4.32798269542748163e-25 -2.11704827045689085e-26
1957+20    10-Jun-14  173000.00   56818.72916666660            29.124020 -0.552 -7.040
 298789360650.040496  622.122028784041   ao  300   12   335.250 0.1426   2.6180
 -9.61393483347311451e-08  2.57686480903785142e+00  2.20083483356838449e-03
 -1.11415460689202308e-05 -2.30999313398358119e-08  7.31215408772544811e-11
  9.96935202371787554e-14 -2.27763019043112043e-16 -2.29861117120039224e-19
  4.15369676414332562e-22  3.04207420617323019e-25 -4.79913286286118433e-28
1957+20    10-Jun-14  213000.00   56818.89583333330            29.124020 -0.565 -6.808
 298798319787.326610  622.122028784041   ao  300   12   335.250 0.5791   2.6180
 -1.39489399276007675e-07  1.77669536775833192e+00 -3.00869341171976050e-03
  7.10102745948690000e-06  3.34619609217800042e-08 -4.68029662862819648e-11
 -1.46157836789260502e-13  1.45026312036648309e-16  3.40480890288118550e-19
 -2.59875200284954514e-22 -4.63772281226438003e-25  3.09593858538610856e-28
1957+20    11-Jun-14   23000.00   56819.10416666660            29.124020 -0.568 -4.302
 298809518535.362431  622.122028784041   ao  300   12   335.250 0.1245   2.6180
 -1.44544962896054480e-05  2.58986737719169380e+00  2.38259077017395540e-03
 -1.03782878039637017e-05 -2.63895378698464973e-08  6.72039287152815100e-11
  1.15843984344200262e-13 -2.37668497851521743e-16 -3.04241623674958835e-19
  1.58333776912619253e-21  8.47323044149447433e-25 -1.78840453408540110e-26
1957+20    11-Jun-14   73000.00   56819.31249999990            29.124020 -0.552 -7.039
 298820717421.512912  622.122028784041   ao  300   12   335.250 0.6699   2.6180
 -5.45510733460097264e-08  1.48954402226247540e+00 -1.70094296735675003e-03
