1957+20     8-Jun-14  220000.00   56816.91666666660            29.124020 -0.582 -6.070
 298691930964.245455  622.122028784041   ao  300   12   350.000 0.3973   2.6180
 -8.03027051150123627e-07  2.52737381931991889e+00 -2.92753783551109349e-03
 -7.81810900434616352e-06  3.25069108457599947e-08  5.03901961634991337e-11
 -1.41647605135790177e-13 -1.55052008228563813e-16  3.23856236879539513e-19
  2.33691248648825877e-22 -3.55846510878170527e-25  5.15776969350895626e-28
1957+20     9-Jun-14   30000.00   56817.12499999990            29.124020 -0.584 -4.125
 298703129716.754645  622.122028784041   ao  300   12   350.000 0.9427   2.6180
  4.81844100736622538e-06  1.98736242847993738e+00  3.39319340502187939e-03
  4.03067393637962292e-06 -3.74733187505203221e-08 -2.71166040885955576e-11
  1.62254442237023607e-13  8.79714566641742105e-17 -3.05701195522984349e-19
 -4.61476280159923537e-22 -9.60850880268662942e-25  7.26286142183199477e-27
1957+20     9-Jun-14   80000.00   56817.33333333320            29.124020 -0.567 -7.028
 298714328667.119884  622.122028784041   ao  300   12   350.000 0.4881   2.6180
  8.52163540496220229e-08  2.13124798319281439e+00 -3.74211506259940424e-03
 -2.77572092204157792e-07  3.95469973848843191e-08  2.01689088921695029e-12
 -1.71201879651250508e-13 -6.75041313017187442e-18  3.96231352345898127e-19
  1.35721536990583862e-23 -5.30458177880783880e-25  3.16450656078908925e-30
1957+20     9-Jun-14  130000.00   56817.54166666660            29.124020 -0.554 -4.474
 298725527380.900237  622.122028784041   ao  300   12   350.000 0.0335   2.6180
 -1.12526576167247538e-05  2.23421324684629408e+00  3.47886961229188158e-03
 -3.42897650520470745e-06 -3.80192489264917887e-08  2.31593400217529641e-11
  1.64488881329525130e-13 -6.03971955538273839e-17 -3.36345651810248501e-19
 -2.97267278660097224e-22 -2.72888795400951458e-25  5.28402007376199612e-27
1957+20     9-Jun-14  180000.00   56817.74999999990            29.124020 -0.562 -7.031
 298736726301.571432  622.122028784041   ao  300   12   350.000 0.5789   2.6180
 -8.57169613326796975e-08  1.76650551167280145e+00 -2.99437411675955965e-03
  7.24736620721499748e-06  3.34395799358377493e-08 -4.69413478360651563e-11
 -1.46143093621939845e-13  1.45019927146526344e-16  3.40443465933604403e-19
 -2.57404384539236928e-22 -4.63652119964850266e-25  2.72508915061813194e-28
1957+20     9-Jun-14  213000.00   56817.89583333330            29.124020 -0.573 -6.742
 298744565382.125681  622.122028784041   ao  300   12   350.000 0.9609   2.6180
