B0531+21   30-Dec-14  130000.00   57021.54166666660             0.000050  0.248 -8.564
    -39610819.631657   29.669488747730   wb  300   12  1650.000                
 -5.00221242911444371e-09 -1.45277245425013291e-02  9.96987328906054975e-07
 -2.94339779704185542e-09 -4.33350966308450164e-12  2.83448162106450228e-15
  2.79828280192275113e-18 -2.87803031226472688e-21 -2.85301115903843600e-24
  6.55947710257695567e-26  3.71852834305019747e-29 -9.47519061873994473e-31
B0531+21   30-Dec-14  180000.00   57021.74999999990             0.000050  0.249 -8.499
    -39076773.208912   29.669488747730   wb  300   12  1650.000                
  8.92902721568887212e-12 -1.50457369257207228e-02 -2.97667937001838119e-06
 -4.58091345669815407e-09  2.00820129620003062e-12  4.39925921012079804e-15
 -1.34267077323773127e-18 -3.35126827050059147e-21  3.33006752466459349e-24
  5.95890640377844984e-26 -4.75766358390777400e-29 -9.25659443558109512e-31
B0531+21   30-Dec-14  230000.00   57021.95833333320             0.000050  0.261 -8.513
    -38542727.291257   29.669488747730   wb  300   12  1650.000                
  2.82276616275737723e-09 -1.77019436620608379e-02 -5.07603527768265449e-06
  6.05876128229560010e-10  5.35802288661334667e-12 -5.79943605965486324e-16
 -3.34933818963380029e-18  4.89474273443301293e-22 -2.33039378904065910e-24
 -1.30800067736232170e-26  6.16157290370239501e-29  2.41751755901034912e-31
B0531+21   31-Dec-14   40000.00   57022.16666666660             0.000050  0.272 -8.439
    -38008682.205057   29.669488747730   wb  300   12  1650.000                
  3.14693609446622404e-10 -2.00752352878570510e-02 -2.17271380029210021e-06
  4.89229181445899595e-09  7.28538959766912205e-13 -4.67808793710970814e-15
 -4.03359568083692887e-19  1.97544363944492339e-21 -2.94348120931902827e-24
 -1.92938954023916386e-28  5.41913106269284202e-29  7.97445507112274876e-32
B0531+21   31-Dec-14   90000.00   57022.37499999990             0.000050  0.271 -8.514
    -37474637.499050   29.669488747730   wb  300   12  1650.000                
 -2.03196342157862045e-10 -2.01647492106612272e-02  1.41122906760201471e-06
  1.89461900956248158e-09 -4.98561434381619028e-12 -1.79018805054311531e-15
  3.12251538189570487e-18 -1.18385256233251661e-21  1.42010447655304680e-24
  8.17709325840044339e-26 -3.95684507836548200e-29 -1.22497601401370690e-30
B0531+21   31-Dec-14  130000.00   57022.54166666660             0.000050  0.265 -8.412
    -37047401.610410   29.669488747730   wb  300   12  1650.000                
 -5.65630221877494341e-09 -1.94498413996894229e-02  9.67752614413974991e-07
 -3.01101657698235525e-09 -4.27802072683370270e-12  2.87774852126407874e-15
  2.81781049315333563e-18 -5.80659612487774852e-22 -5.14744748765903173e-24
 -3.77590676130051903e-26  7.18206512455433374e-29  6.76908575483152333e-31
B0531+21   31-Dec-14  180000.00   57022.74999999990             0.000050  0.266 -8.469
    -36513356.668179   29.669488747730   wb  300   12  1650.000                
  2.08727563275992495e-09 -1.99956396888622268e-02 -3.02461741450103235e-06
 -4.54865061027703605e-09  2.09374174716412852e-12  4.37180070251267308e-15
 -1.34995080961783387e-18 -3.56636532936142249e-21  9.82858864963456274e-25
  6.47688415462504425e-26 -6.96190527438100785e-30 -9.45166224046504231e-31
B0531+21   31-Dec-14  230000.00   57022.95833333320             0.000050  0.278 -8.449
    -35979312.238352   29.669488747730   wb  300   12  1650.000                
  2.30662323803823240e-09 -2.26645644149463255e-02 -5.06246912958026877e-06
  6.90019599075224419e-10  5.34619807611609574e-12 -6.49818121065258853e-16
 -3.41047051136748818e-18 -4.81511307189071339e-22  1.79885475855342872e-24
  2.88905668607355701e-26 -1.82765444951927327e-29 -3.92480643411114270e-31
B0531+21    1-Jan-15   40000.00   57023.16666666660             0.000050  0.289 -8.467
    -35445268.637726   29.669488747730   wb  300   12  1650.000                
 -4.09877911068307391e-09 -2.50112730273579151e-02 -2.10901405170332564e-06
  4.90307209308699267e-09  6.36235407685936467e-13 -4.69138233109548137e-15
 -3.69084070026266571e-19  1.96054262434584142e-21 -5.68697238084523775e-25
  8.63315534708859427e-27  1.67000373172556293e-30 -1.40733302590259328e-31
B0531+21    1-Jan-15   90000.00   57023.37499999990             0.000050  0.287 -8.434
    -34911225.407235   29.669488747730   wb  300   12  1650.000                
 -7.34473996028431960e-10 -2.50691892611538507e-02  1.43904139441546958e-06
  1.81604758266678865e-09 -5.02020320346296839e-12 -1.73945094632198387e-15
  3.09279609203716125e-18  9.28520477781696539e-22  4.42772961459439539e-24
 -2.17433222812712543e-27 -9.50648536189316264e-29 -1.27076918260749780e-32
B0531+21    1-Jan-15  130000.00   57023.54166666660             0.000050  0.282 -8.425
    -34483990.695200   29.669488747730   wb  300   12  1650.000                
 -2.75987679054678805e-09 -2.43551491645246608e-02  9.37775400168213398e-07
 -3.07779003284006870e-09 -4.21995359193568460e-12  2.93805276963667352e-15
  2.70187189211906425e-18 -3.85930609371052726e-22 -1.50234686711411012e-24
 -4.36410606201607224e-26  1.18618248716542325e-29  7.23457457950161855e-31
B0531+21    1-Jan-15  180000.00   57023.74999999990             0.000050  0.283 -8.498
    -33949947.228475   29.669488747730   wb  300   12  1650.000                
 -3.91225510112743640e-09 -2.49288434009558822e-02 -3.07211332061162875e-06
 -4.51501336351546237e-09  2.17852833064005290e-12  4.33593178545289758e-15
 -1.35362361190821781e-18 -3.40845335516165597e-21 -1.30367819988723307e-24
  6.70518269217873485e-26  3.08101559838790659e-29 -1.07788957410572849e-30
B0531+21    1-Jan-15  230000.00   57023.95833333320             0.000050  0.295 -8.637
    -33415904.281399   29.669488747730   wb  300   12  1650.000                
  1.48364739795088041e-09 -2.76099699952129796e-02 -5.04786326724116323e-06
  7.73966040319358827e-10  5.33219617172464715e-12 -7.23141799504734609e-16
 -3.35361340219182493e-18 -8.86345780957596276e-22 -9.50441838594330226e-25
  3.85361554540498827e-26  3.17573707354045582e-29 -4.23975473479151596e-31
B0531+21    2-Jan-15   40000.00   57024.16666666660             0.000050  0.306 -8.412
    -32881862.161105   29.669488747730   wb  300   12  1650.000                
 -6.69760618618914271e-10 -2.99296760282418278e-02 -2.04515359668223902e-06
  4.91229285796685387e-09  5.43729027836923134e-13 -4.68981092025985257e-15
 -2.42567058890440695e-19  1.27365470533843572e-21 -5.37608234087281572e-24
  2.83178603444052921e-26  1.00548684821610531e-28 -3.29440598767586125e-31
B0531+21    2-Jan-15   90000.00   57024.37499999990             0.000050  0.304 -8.503
    -32347820.400864   29.669488747730   wb  300   12  1650.000                
 -1.83279197668126284e-09 -2.99562535209410841e-02  1.46596989331442220e-06
  1.73670883284657318e-09 -5.05430183875844729e-12 -1.64149552045349027e-15
  3.19622465457853811e-18 -9.51660605609936191e-22  3.72868979574624677e-25
  6.63177530563891081e-26 -2.52026906567049635e-29 -9.44446417281945914e-31
B0531+21    2-Jan-15  130000.00   57024.54166666660             0.000050  0.298 -8.427
    -31920586.861317   29.669488747730   wb  300   12  1650.000                
 -6.57183401035346329e-09 -2.92435138068038725e-02  9.07063080657713963e-07
 -3.14373481122272099e-09 -4.16134010654039813e-12  3.01332839899739081e-15
  2.64455671518729448e-18 -1.53224511311792808e-21 -1.58320524796986060e-25
  1.37417817692236390e-27 -1.29348258705308790e-29  6.46381977944678058e-32
B0531+21    2-Jan-15  180000.00   57024.74999999990             0.000050  0.299 -8.482
    -31386544.865049   29.669488747730   wb  300   12  1650.000                
 -4.26004174058409622e-09 -2.98452108427283459e-02 -3.11916716017246016e-06
 -4.48010966860362744e-09  2.26417157703614358e-12  4.31212756011724185e-15
 -1.51443301542185406e-18 -3.94455590159803884e-21  3.79242948678552025e-24
  7.57389433363034097e-26 -5.59348959304469763e-29 -1.02528060411505751e-30
B0531+21    2-Jan-15  230000.00   57024.95833333320             0.000050  0.312 -8.490
    -30852503.395605   29.669488747730   wb  300   12  1650.000                
  2.96703400379160430e-09 -3.25380221970149180e-02 -5.03222664778631473e-06
  8.57688433745666752e-10  5.31766764022164287e-12 -7.94742180322466197e-16
 -3.41941163294388246e-18 -1.79308880515298855e-21  1.94374789043300860e-24
  8.39128730583943895e-26 -6.93388411034710014e-30 -1.20059937499273673e-30
B0531+21    3-Jan-15   40000.00   57025.16666666660             0.000050  0.323 -8.428
    -30318462.750361   29.669488747730   wb  300   12  1650.000                
 -3.30328200472080951e-10 -3.48303151656508617e-02 -1.98114580312893133e-06
  4.92009786411129359e-09  4.51176363025298284e-13 -4.68870888776385841e-15
 -1.78210155385742471e-19  3.23480727144736393e-22 -5.37077829673163533e-24
  7.36894105594359124e-26  9.51205904229371781e-29 -1.09868799226709687e-30
B0531+21    3-Jan-15   90000.00   57025.37499999990             0.000050  0.321 -8.461
    -29784422.455065   29.669488747730   wb  300   12  1650.000                
 -7.64448103105776992e-10 -3.48258209991565773e-02  1.49200341426778731e-06
  1.65698470261250050e-09 -5.08611141925841299e-12 -1.56775681722413006e-15
  3.22829389051205925e-18 -8.19685745736095313e-22 -7.00618648084552984e-25
  6.22726571338199386e-26 -2.75816130794802313e-30 -9.17368297253475107e-31
B0531+21    3-Jan-15  130000.00   57025.54166666660             0.000050  0.315 -8.337
    -29357190.083859   29.669488747730   wb  300   12  1650.000                
 -6.25059455703806606e-09 -3.41148113104636636e-02  8.75626864327812834e-07
 -3.20862403133934685e-09 -4.10148639205693442e-12  3.06160447751740964e-15
  2.60841787080354527e-18 -4.00197958281799896e-22 -5.21392455551555478e-25
 -4.08812781790800994e-26 -3.93315927102961351e-30  6.25158129603922450e-31
B0531+21    3-Jan-15  180000.00   57025.74999999990             0.000050  0.316 -8.495
    -28823149.552961   29.669488747730   wb  300   12  1650.000                
 -5.41701576878359653e-10 -3.47446048584288819e-02 -3.16574112849038902e-06
 -4.44374016314095749e-09  2.34699775687666253e-12  4.25798475526759794e-15
 -1.44106469519720627e-18 -2.23993280252768953e-21 -2.25070817699273504e-24
  1.40355712261586376e-26  4.80180339609912044e-29 -2.26773097097112247e-31
B0531+21    3-Jan-15  230000.00   57025.95833333320             0.000050  0.329 -8.311
    -28289109.555986   29.669488747730   wb  300   12  1650.000                
  3.62965565501476625e-10 -3.74485742047019551e-02 -5.01553870905078069e-06
  9.41599191663818428e-10  5.30057878367395335e-12 -9.50799453338813045e-16
 -3.44518307240677973e-18  4.53233656759920038e-21  4.64076682723853542e-24
 -1.54298274301150244e-25 -5.92311544190966604e-29  2.17554361634576774e-30
B0531+21    4-Jan-15   40000.00   57026.16666666660             0.000050  0.340 -8.355
    -27755070.380468   29.669488747730   wb  300   12  1650.000                
 -2.35593978896599500e-09 -3.97130426547126977e-02 -1.91699533025221192e-06
  4.92653831691798769e-09  3.58667612510549037e-13 -4.70892037189561297e-15
 -1.45857578957005117e-19  1.74757813861132242e-21 -3.51910883112076860e-24
  1.16428617258970022e-26  5.54190317981115691e-29 -1.23139069645618343e-31
B0531+21    4-Jan-15   90000.00   57026.37499999990             0.000050  0.337 -8.490
    -27221031.544766   29.669488747730   wb  300   12  1650.000                
 -6.20581736508334396e-10 -3.96777427547227377e-02  1.51715638512791143e-06
  1.57678855374471409e-09 -5.11577457115907845e-12 -1.49699600858151351e-15
  3.16544991442430119e-18 -3.59618018805862794e-22  3.18395817978990629e-24
  4.54144506634596687e-26 -6.82609034018091015e-29 -7.17941792786016393e-31
B0531+21    4-Jan-15  123000.00   57026.52083333330             0.000050  0.332 -8.350
    -26847204.247469   29.669488747730   wb  300   12  1650.000                
  7.99651464713107993e-09 -3.90278801887574550e-02  1.11540321766664888e-06
 -2.76105275937237628e-09 -4.47405868277276788e-12  2.64741442902828247e-15
  2.81420607909878693e-18 -1.44460018239885712e-21  8.96927464827898248e-25
  5.75073167778330959e-27 -3.06460409278653930e-29 -1.62948025648711376e-32
B0531+21    4-Jan-15  173000.00   57026.72916666660             0.000050  0.332 -8.513
    -26313165.160678   29.669488747730   wb  300   12  1650.000                
  4.82016767449353675e-10 -3.94462782694910280e-02 -2.80329441291839586e-06
 -4.65900308999902233e-09  1.77947484126622144e-12  4.44828657490815073e-15
 -1.20340034559493464e-18 -7.97714311207226812e-22  3.58883446253930201e-24
 -5.19088928542764685e-26 -5.20836122015157460e-29  8.00883267919864356e-31
B0531+21    4-Jan-15  223000.00   57026.93749999990             0.000050  0.344 -8.533
    -25779126.551266   29.669488747730   wb  300   12  1650.000                
 -4.04451462862189339e-09 -4.20393663344852744e-02 -5.06126475775278623e-06
  3.83767245765770041e-10  5.38299151450286552e-12 -3.70589809819140432e-16
 -3.42291915116661349e-18  4.81647920651796573e-22  1.01690498332284662e-25
 -9.61448006231027358e-27  2.39149217036725485e-29  1.12372687214653320e-31
B0531+21    5-Jan-15   33000.00   57027.14583333330             0.000050  0.356 -8.387
    -25245088.770279   29.669488747730   wb  300   12  1650.000                
  2.23963519165692570e-09 -4.44532235401864234e-02 -2.29382436574622601e-06
  4.85707495796949062e-09  9.71556405295063096e-13 -4.63014143685613417e-15
 -7.49264657067235727e-19  8.29402370470875494e-22  5.97757828951792931e-24
  3.86991240673271297e-26 -9.34768336588607226e-29 -4.01622780656744131e-31
B0531+21    5-Jan-15   83000.00   57027.35416666660             0.000050  0.354 -8.413
